Volledige naam,genitief,korte omschrijving,wikipedia
Gāius (C) Lutātius Catulus,Gāiī (Caiī) Lutātiī Catulī,"Romeins politicus, consul in 242 v.Chr. samen met Aulus Postumius Albinus, hoewel hij door een verwonding niet zelf de slag bij de Aegatische eilanden won, was hij wel degene die onderhandelingen met Hamilcar Barca voerde.","https://en.wikipedia.org/wiki/Gaius_Lutatius_Catulus_(consul_242_BC)"
Hamilcar Barcas,Hamilcaris Barcae,"Carthaags aanvoerder aan het einde van de Eerste Punische Oorlog, later sloeg hij de opstand van de huurlingen neer en veroverde hij grote delen van Spanje, waar hij overleed. Zijn meest bekende zoon, Hannibal, zou zijn campagne verderzetten.","https://nl.wikipedia.org/wiki/Hamilcar_Barkas"
Hannibal Barcas,Hannibalis Barcae,"Carthaags generaal tijdens de Tweede Punische Oorlog, vooral bekend om zijn tocht over de Alpen met oorlogsolifanten om Italië binnen te vallen.","https://nl.wikipedia.org/wiki/Hannibal_Barkas"
Herculēs,Herculis,"Mythische held uit de Griekse en Romeinse mythologie, bekend om zijn buitengewone kracht en de twaalf werken die hij moest volbrengen. In de Romeinse versie van de mythe moest hij de runderen van Geryones van Italië naar Mycene brengen via de Alpen.","https://nl.wikipedia.org/wiki/Herakles_(mythologie)"
Pūblius (P) Cornēlius Scīpiō,Pūbliī Cornēliī Scīpiōnis,"Romeins generaal en staatsman, als consul in 218 v.Chr. leidde hij een zware nederlagen tegen Hannibal. Hij zou in 211 v.Chr. sneuvelen tijdens zijn campagne in Hispania. Vader van de beroemde Scipio Africanus.","https://nl.wikipedia.org/wiki/Publius_Cornelius_Scipio_I"
Tiberius (Ti) Semprōnius Longus,Tiberiī Semprōniī Longī,"Romeins generaal en consul in 218 v.Chr., bekend om zijn rol in de vroege stadia van de Tweede Punische Oorlog, waaronder de Slag bij de Ticinus en de Slag bij de Trebia.","https://nl.wikipedia.org/wiki/Tiberius_Sempronius_Longus_(consul_in_218_v.Chr.)"
Gāius (C) Flaminius Nepōs,Gāiī Flaminiī Nepōtis,"Romeins politicus en generaal, bekend om zijn hervormingen van het Romeinse leger, zijn strijd om meer rechten voor de plebejers en zijn nederlaag tegen Hannibal in de Slag bij het Trasimeense Meer in 217 v.Chr.","https://nl.wikipedia.org/wiki/Gaius_Flaminius_Nepos"
Gāius (C) Centēnius,Gāiī Centēniī,"Romeins generaal en politicus, bekend om zijn rol in de Tweede Punische Oorlog, waar hij verschillende veldslagen tegen Hannibal voerde.","https://en.wikipedia.org/wiki/Gaius_Centenius"
Gāius (C) Terentius Varrō,Gāiī Terentiī Varrōnis,"Romeins politicus en generaal, bekend om zijn nederlaag tegen Hannibal in de Slag bij Cannae in 216 v.Chr.","https://nl.wikipedia.org/wiki/Gaius_Terentius_Varro"
Lūcius (L) Aemilius Paullus,Lūciī Aemiliī Paullī,"Romeins politicus en generaal, bekend om zijn nederlaag tegen Hannibal in de Slag bij Cannae in 216 v.Chr.","https://nl.wikipedia.org/wiki/Lucius_Aemilius_Paulus_(consul_in_219_en_216_v.Chr.)"
Gnaeus (Cn) Servīlius Geminus,Gnaei Servilī Geminī,"Romeins generaal en politicus, bekend om zijn rol in de Tweede Punische Oorlog, waar hij verschillende veldslagen tegen Hannibal voerde.","https://nl.wikipedia.org/wiki/Gnaeus_Servilius_Geminus"
Pūblius (P) Cornēlius Scīpiō Āfricānus,Pūbliī Cornēliī Scīpiōnis Āfricānī,"Romeins generaal en staatsman, bekend om zijn overwinning op Hannibal in de Slag bij Zama in 202 v.Chr., waarmee hij een einde maakte aan de Tweede Punische Oorlog. Hij kreeg de bijnaam 'Africānus' vanwege zijn successen in Afrika.","https://nl.wikipedia.org/wiki/Publius_Cornelius_Scipio_Africanus_maior"
Prūsiās,Prūsiadis,"Koning van Bithynië van 228 v.Chr. tot zijn dood in 182 v.Chr., hij slaagde erin de macht van Bythinië in klein-Azië uit te breiden, mede met de hulp van Hannibal, die bij hem in ballingschap leefde. Wat betreft Rome hield hij zich neutraal tijdens de oorlogen met het Seleucidische Rijk.","https://en.wikipedia.org/wiki/Prusias_I_of_Bithynia"
Titus (T) Quīn(c)tius Flāminīnus,Titi Quincti Flaminini,"Romeins generaal en staatsman, bekend om zijn overwinning op de Macedonische koning Philippos V in de Slag bij Cynoscephalae in 197 v.Chr., waarmee hij de Romeinse heerschappij over Griekenland vestigde.","https://nl.wikipedia.org/wiki/Titus_Quinctius_Flamininus"
Marcus (M) Porcius Catō,Marci Porci Catonis,"Romeins politicus en schrijver, bekend om zijn conservatieve standpunten en zijn pleidooi voor de vernietiging van Carthago tijdens de Derde Punische Oorlog. Hij stond bekend als 'Cato de Oudere' of 'Cato de Censor'.","https://nl.wikipedia.org/wiki/Marcus_Porcius_Cato_Censorius_maior"
Hasdrubal Pulcher,Hasdrubalis Pulchri,"Carthaags generaal en schoonzoon van Hamilcar Barcas. Hij trok mee met Hamilcar naar Spanje, waar hij deze opvolgde als aanvoerder van de Catrhaagse troepen na diens dood. Hij werd in 221 v.C. echter zelf vermoord, waarschijnlijk om zijn tegenstand tegen de Carthaagse aristocratie. Hij werd vervolgens opgevolgd door zijn schoonbroer Hannibal.","https://nl.wikipedia.org/wiki/Hasdrubal_de_Schone"
Hasdrubal Barcas,Hasdrubalis Barcae,"Carthaags generaal en jongere broer van Hannibal Barkas. Hij voerde de Carthaagse troepen in Hispania aan nadat Hannibal naar Italië was getrokken. Hij was minder succesvol dan zijn broer en slaagde er niet in om Hannibal te ondersteunen vanuit Hispania. In 208 v.Chr. bereikte hij toch Italië, eveneens via de Pyreneeën en de Alpen, waar hij in 207 v.Chr. werd verslagen en gedood in de Slag bij de Metaurus.","https://en.wikipedia.org/wiki/Hasdrubal_Barca"
